Unité	F	f_1 - 5	Score	f_6 - 7	Score	f_8 - 10	Score
"logique"	31	7	0.4144	14	0.8363	10	-1.0855
"puzzle"	22	0	-2.0384	10	0.7098	12	0.5452
"final"	271	48	-0.53	108	1.4127	115	-0.9406
"forcer"	55	9	-0.4324	20	0.3594	26	0.3077
"sortir"	211	47	0.8273	61	-1.3146	103	0.6036
"soluce"	3	0	-0.278	0	-0.5519	3	1.0045
"attachant"	52	2	-2.8719	28	2.4821	22	-0.4762
"intriguer"	10	2	0.2219	5	0.6229	3	-0.6196
"conclusion"	21	3	-0.3924	10	0.8206	8	-0.5235
"rapide"	58	12	0.3573	22	0.4711	24	-0.5675
"majeur"	25	5	0.2676	12	0.9384	8	-0.964
"faible"	51	7	-0.6766	19	0.4074	25	0.4
"gênant"	19	2	-0.5789	8	0.4968	9	0.2594
"entraîner"	15	0	-1.3898	7	0.6328	8	0.4158
"aujourd'hui"	55	12	0.4402	16	-0.6156	27	0.4131
"système"	233	43	-0.3734	99	2.1531	91	-1.8002
"information"	32	5	-0.3949	17	1.6288	10	-1.2065
"mur"	69	14	0.3393	28	0.7553	27	-0.8449
"vert"	11	4	0.8413	2	-0.6792	5	-0.2216
"bouteille"	2	0	-0.1853	1	0.2431	1	0.148
"fond"	72	16	0.5215	25	0.2752	31	-0.4739
"sonore"	41	6	-0.5183	13	-0.3757	22	0.6709
"hyper"	26	3	-0.627	17	2.886	6	-1.882
"peser"	11	1	-0.461	5	0.4955	5	-0.2216
"blond|blonde"	3	0	-0.278	1	-0.1399	2	0.3527
"nombril"	2	1	0.4593	1	0.2431	0	-0.5394
"club"	3	0	-0.278	2	0.5601	1	-0.2549
"décousu"	2	0	-0.1853	2	0.9236	0	-0.5394
"dément"	5	0	-0.4633	2	0.2498	3	0.3665
"pervers"	2	0	-0.1853	2	0.9236	0	-0.5394
"traumatisme"	4	4	2.8658	0	-0.7359	0	-1.0787
"époque"	143	32	0.7109	39	-1.4063	72	0.7339
"laisser"	223	41	-0.3806	90	1.3945	92	-1.1201
"acheter"	85	16	-0.2758	20	-1.7117	49	1.6382
"tête"	97	8	-2.6313	31	-0.4705	58	2.2945
"car"	294	62	0.6446	114	1.1444	118	-1.6991
"enfant"	58	9	-0.5219	19	-0.3491	30	0.6188
"refaire"	23	4	-0.2682	8	0.2458	11	0.2832
"œil"	140	21	-0.9151	52	0.5447	67	0.4165
"adulte"	9	6	2.6077	1	-0.8963	2	-0.8779
"vision"	40	5	-0.7148	22	2.2013	13	-1.2594
"peur"	38	6	-0.4135	7	-1.6283	25	1.9195
"mitiger"	9	5	1.7822	1	-0.8963	3	-0.4778
"!"	898	201	2.0111	255	-4.3054	442	1.3959
"venir"	206	39	-0.2994	74	0.4413	93	-0.3959
