Unité	F	f_1 - 5	Score	f_6 - 7	Score	f_8 - 10	Score
"fantomatique"	2	0	-0.1853	1	0.2431	1	0.148
"plante"	8	5	2.06	1	-0.7541	2	-0.7006
"grimpant"	2	0	-0.1853	1	0.2431	1	0.148
"civilisation"	15	0	-1.3898	8	0.9756	7	0.2315
"dose"	9	1	-0.3369	5	0.7854	3	-0.4778
"norme"	4	0	-0.3706	1	-0.2431	3	0.5874
"dilemme"	2	0	-0.1853	0	-0.3679	2	0.6696
"couvert"	8	0	-0.7412	1	-0.7541	7	1.666
"boulversé"	2	0	-0.1853	0	-0.3679	2	0.6696
"hier"	3	0	-0.278	1	-0.1399	2	0.3527
"terrer"	2	0	-0.1853	0	-0.3679	2	0.6696
"couillu"	3	0	-0.278	0	-0.5519	3	1.0045
"recouvrer|recouvrir"	2	0	-0.1853	1	0.2431	1	0.148
"baril"	3	0	-0.278	1	-0.1399	2	0.3527
"tonneau"	6	0	-0.5559	1	-0.4842	5	1.1074
"vitre"	2	0	-0.1853	0	-0.3679	2	0.6696
"serviteur"	2	1	0.4593	0	-0.3679	1	0.148
"destruction"	10	1	-0.3979	4	0.3247	5	0.2772
"rareté"	3	0	-0.278	0	-0.5519	3	1.0045
"démêler"	2	0	-0.1853	0	-0.3679	2	0.6696
"imposant"	7	0	-0.6486	2	-0.2652	5	0.77
"mineur"	5	0	-0.4633	1	-0.3591	4	0.841
"réveiller"	25	5	0.2676	7	-0.4901	13	0.4529
"infortune"	2	0	-0.1853	0	-0.3679	2	0.6696
"vallée"	3	1	0.3254	0	-0.5519	2	0.3527
"abriter"	4	0	-0.3706	1	-0.2431	3	0.5874
"entraider"	2	0	-0.1853	0	-0.3679	2	0.6696
"entraide"	2	0	-0.1853	0	-0.3679	2	0.6696
"comparses"	2	0	-0.1853	1	0.2431	1	0.148
"onirique"	7	0	-0.6486	4	0.7163	3	-0.2355
"fau|faux"	3	1	0.3254	1	-0.1399	1	-0.2549
"frayer|frayer"	2	0	-0.1853	0	-0.3679	2	0.6696
"retordre"	5	0	-0.4633	2	0.2498	3	0.3665
"haleine"	6	0	-0.5559	2	-0.1828	4	0.5584
"connaisseur"	2	0	-0.1853	0	-0.3679	2	0.6696
"emphase"	2	0	-0.1853	0	-0.3679	2	0.6696
"minimalisme"	3	0	-0.278	0	-0.5519	3	1.0045
"bol"	4	1	0.2411	1	-0.2431	2	0.2011
"contresens"	2	0	-0.1853	0	-0.3679	2	0.6696
"démonstration"	3	0	-0.278	1	-0.1399	2	0.3527
"confondre"	7	0	-0.6486	1	-0.6164	6	1.3832
"imprécision"	5	1	0.1832	0	-0.9198	4	0.841
"demi-heure"	3	1	0.3254	0	-0.5519	2	0.3527
"mi-chemin"	2	0	-0.1853	0	-0.3679	2	0.6696
"impuissant"	3	0	-0.278	1	-0.1399	2	0.3527
"rejouabilité"	5	0	-0.4633	2	0.2498	3	0.3665
"easter"	2	0	-0.1853	0	-0.3679	2	0.6696
"eggs"	2	0	-0.1853	0	-0.3679	2	0.6696
"blocage"	2	0	-0.1853	0	-0.3679	2	0.6696
"hollywoodien"	3	1	0.3254	0	-0.5519	2	0.3527
"seoir"	2	0	-0.1853	0	-0.3679	2	0.6696
"pastel"	3	0	-0.278	1	-0.1399	2	0.3527
"plumage"	4	0	-0.3706	1	-0.2431	3	0.5874
"signaler"	5	2	0.6079	0	-0.9198	3	0.3665
"humide"	3	0	-0.278	0	-0.5519	3	1.0045
"réveil"	7	1	-0.2229	1	-0.6164	5	0.77
"tatouage"	2	0	-0.1853	1	0.2431	1	0.148
"signification"	4	1	0.2411	0	-0.7359	3	0.5874
"gober"	3	0	-0.278	0	-0.5519	3	1.0045
"affamer"	3	1	0.3254	0	-0.5519	2	0.3527
"questionnement"	2	0	-0.1853	1	0.2431	1	0.148
"gémissement"	3	1	0.3254	0	-0.5519	2	0.3527
"tantôt"	10	0	-0.9265	2	-0.5657	8	1.4828
"foncièrement"	2	0	-0.1853	0	-0.3679	2	0.6696
"tearing"	2	0	-0.1853	0	-0.3679	2	0.6696
"Trico"	6	0	-0.5559	0	-1.1038	6	2.009
"abstraction"	5	1	0.1832	1	-0.3591	3	0.3665
"paire"	4	0	-0.3706	0	-0.7359	4	1.3393
"demeurant"	4	2	0.7726	0	-0.7359	2	0.2011
"dénaturer"	2	0	-0.1853	1	0.2431	1	0.148
"tape"	5	2	0.6079	1	-0.3591	2	-0.2442
"obsession"	2	0	-0.1853	0	-0.3679	2	0.6696
"réactivité"	4	0	-0.3706	2	0.3678	2	0.2011
"quart"	5	0	-0.4633	2	0.2498	3	0.3665
"bondir"	4	0	-0.3706	1	-0.2431	3	0.5874
"onirisme"	2	0	-0.1853	0	-0.3679	2	0.6696
"mets"	3	0	-0.278	2	0.5601	1	-0.2549
"obéissant"	2	0	-0.1853	2	0.9236	0	-0.5394
"ambiant"	6	1	-0.1709	3	0.4641	2	-0.3806
"bluffer"	11	0	-1.0192	5	0.4955	6	0.3984
"ambulant"	2	0	-0.1853	1	0.2431	1	0.148
"naturellement"	7	0	-0.6486	3	0.3401	4	0.3782
"traite"	2	0	-0.1853	2	0.9236	0	-0.5394
"perfect"	2	0	-0.1853	1	0.2431	1	0.148
"compte-goutte"	2	0	-0.1853	1	0.2431	1	0.148
"ICO"	9	0	-0.8339	2	-0.4581	7	1.2349
"spoilé"	2	0	-0.1853	1	0.2431	1	0.148
"brêle"	2	0	-0.1853	1	0.2431	1	0.148
"têtu"	3	0	-0.278	1	-0.1399	2	0.3527
"affiler"	5	2	0.6079	1	-0.3591	2	-0.2442
"familiariser"	2	0	-0.1853	1	0.2431	1	0.148
"caresse"	5	0	-0.4633	3	0.6422	2	-0.2442
"engueuler"	2	0	-0.1853	1	0.2431	1	0.148
"raccrocher"	3	0	-0.278	2	0.5601	1	-0.2549
"trébucher"	5	0	-0.4633	3	0.6422	2	-0.2442
"tributaire"	2	0	-0.1853	1	0.2431	1	0.148
"tempérament"	2	0	-0.1853	1	0.2431	1	0.148
"continuel"	2	0	-0.1853	2	0.9236	0	-0.5394
"broncher"	3	0	-0.278	2	0.5601	1	-0.2549
"colosse"	8	2	0.3248	1	-0.7541	5	0.5453
"écrouler"	3	0	-0.278	2	0.5601	1	-0.2549
"poussif"	8	2	0.3248	4	0.5473	2	-0.7006
"chuter"	6	0	-0.5559	2	-0.1828	4	0.5584
"ponctuel"	2	0	-0.1853	1	0.2431	1	0.148
"checkpoint"	8	0	-0.7412	3	0.2511	5	0.5453
"capture"	4	0	-0.3706	4	1.8472	0	-1.0787
"720p"	2	0	-0.1853	1	0.2431	1	0.148
"démériter"	2	0	-0.1853	2	0.9236	0	-0.5394
"concurrent"	2	0	-0.1853	2	0.9236	0	-0.5394
"projectile"	7	0	-0.6486	5	1.2795	2	-0.534
"laser"	2	0	-0.1853	2	0.9236	0	-0.5394
"invincibilité"	2	1	0.4593	1	0.2431	0	-0.5394
"teasing"	2	0	-0.1853	2	0.9236	0	-0.5394
"fragilité"	4	1	0.2411	1	-0.2431	2	0.2011
"qui-vive"	2	0	-0.1853	1	0.2431	1	0.148
"rumeur"	3	0	-0.278	2	0.5601	1	-0.2549
"chandelle"	4	0	-0.3706	3	0.9135	1	-0.4311
"prédecesseurs"	2	0	-0.1853	1	0.2431	1	0.148
"mystique"	8	1	-0.2785	5	0.9967	2	-0.7006
"vertigineux"	13	2	-0.2749	5	0.3142	6	-0.2157
"Shadow"	2	0	-0.1853	1	0.2431	1	0.148
"mainstream"	2	0	-0.1853	2	0.9236	0	-0.5394
"angulaire"	2	0	-0.1853	1	0.2431	1	0.148
"déjà-vu"	2	1	0.4593	1	0.2431	0	-0.5394
"bâton"	2	0	-0.1853	1	0.2431	1	0.148
"colossus"	2	0	-0.1853	1	0.2431	1	0.148
"filmer"	2	1	0.4593	1	0.2431	0	-0.5394
"tolérable"	2	0	-0.1853	1	0.2431	1	0.148
"croyable"	3	0	-0.278	2	0.5601	1	-0.2549
"fourrure"	2	0	-0.1853	1	0.2431	1	0.148
"tandem"	2	0	-0.1853	1	0.2431	1	0.148
"sensoriel"	2	0	-0.1853	1	0.2431	1	0.148
"familier"	4	0	-0.3706	2	0.3678	2	0.2011
"esthète"	2	0	-0.1853	2	0.9236	0	-0.5394
"synapse"	2	0	-0.1853	1	0.2431	1	0.148
"maniement"	8	2	0.3248	1	-0.7541	5	0.5453
"équivalent"	2	1	0.4593	1	0.2431	0	-0.5394
"volumétrique"	2	0	-0.1853	1	0.2431	1	0.148
"européen"	5	0	-0.4633	2	0.2498	3	0.3665
"éduquer"	2	0	-0.1853	1	0.2431	1	0.148
"détracteur"	2	0	-0.1853	1	0.2431	1	0.148
"efforcer"	2	0	-0.1853	1	0.2431	1	0.148
"venant"	3	1	0.3254	1	-0.1399	1	-0.2549
"optique"	2	0	-0.1853	1	0.2431	1	0.148
"épuiser"	2	0	-0.1853	1	0.2431	1	0.148
"vis-à-vis"	8	0	-0.7412	6	1.6268	2	-0.7006
"prétention"	3	1	0.3254	2	0.5601	0	-0.809
"amusement"	3	0	-0.278	2	0.5601	1	-0.2549
"ballet"	2	0	-0.1853	1	0.2431	1	0.148
"sirupeux"	2	0	-0.1853	1	0.2431	1	0.148
"ère"	4	0	-0.3706	2	0.3678	2	0.2011
"fraiche"	2	1	0.4593	1	0.2431	0	-0.5394
"innovante"	3	1	0.3254	1	-0.1399	1	-0.2549
"inadmissible"	2	0	-0.1853	1	0.2431	1	0.148
"penetrations"	2	0	-0.1853	2	0.9236	0	-0.5394
"instantané"	3	0	-0.278	2	0.5601	1	-0.2549
"lyrique"	2	0	-0.1853	1	0.2431	1	0.148
"ressurgir"	2	0	-0.1853	1	0.2431	1	0.148
"controls"	2	0	-0.1853	2	0.9236	0	-0.5394
"ponctuellement"	2	0	-0.1853	1	0.2431	1	0.148
"frame"	3	0	-0.278	2	0.5601	1	-0.2549
"rate"	2	0	-0.1853	1	0.2431	1	0.148
"niquer"	4	1	0.2411	1	-0.2431	2	0.2011
"experience"	5	1	0.1832	1	-0.3591	3	0.3665
"respectivement"	3	0	-0.278	1	-0.1399	2	0.3527
"fumer"	4	1	0.2411	1	-0.2431	2	0.2011
"crack"	2	1	0.4593	1	0.2431	0	-0.5394
"raisonner"	2	0	-0.1853	1	0.2431	1	0.148
"postulat"	6	0	-0.5559	3	0.4641	3	0.2338
"impasse"	4	0	-0.3706	3	0.9135	1	-0.4311
"sensiblement"	2	0	-0.1853	2	0.9236	0	-0.5394
"muret"	3	0	-0.278	2	0.5601	1	-0.2549
"10-b4AJIjR4"	2	2	1.4329	0	-0.3679	0	-0.5394
"ps1"	2	1	0.4593	1	0.2431	0	-0.5394
"rigolo"	9	2	0.2679	3	-0.2072	4	-0.2281
"aspérité"	2	0	-0.1853	1	0.2431	1	0.148
"trippes"	2	0	-0.1853	1	0.2431	1	0.148
"verticalité"	3	0	-0.278	2	0.5601	1	-0.2549
"plates-formes"	9	1	-0.3369	4	0.4209	4	-0.2281
"1080P"	2	0	-0.1853	0	-0.3679	2	0.6696
"appréciation"	4	0	-0.3706	1	-0.2431	3	0.5874
"voix-off"	2	0	-0.1853	2	0.9236	0	-0.5394
"savant"	2	0	-0.1853	1	0.2431	1	0.148
"dépayser"	2	0	-0.1853	1	0.2431	1	0.148
"immémorial"	2	0	-0.1853	1	0.2431	1	0.148
"modèle"	19	2	-0.5789	15	4.0157	2	-2.9655
"ressemblance"	2	0	-0.1853	0	-0.3679	2	0.6696
"guardian"	6	5	2.8798	0	-1.1038	1	-0.8282
"amnésique"	14	0	-1.2971	7	0.7605	7	0.3079
"réapprendre"	4	0	-0.3706	1	-0.2431	3	0.5874
"nid"	6	0	-0.5559	4	0.9493	2	-0.3806
"résolument"	2	0	-0.1853	1	0.2431	1	0.148
"rebrousser"	2	0	-0.1853	1	0.2431	1	0.148
"dressage"	7	0	-0.6486	1	-0.6164	6	1.3832
"satisfaction"	11	2	-0.1914	1	-1.191	8	1.143
"obstiner"	2	0	-0.1853	0	-0.3679	2	0.6696
"paroi"	6	0	-0.5559	3	0.4641	3	0.2338
"esthétisme"	2	0	-0.1853	1	0.2431	1	0.148
"inatteignable"	2	0	-0.1853	1	0.2431	1	0.148
"luminosité"	3	0	-0.278	1	-0.1399	2	0.3527
"illuminer"	2	1	0.4593	0	-0.3679	1	0.148
"retro"	2	0	-0.1853	0	-0.3679	2	0.6696
"clore"	4	0	-0.3706	1	-0.2431	3	0.5874
"Ueda"	5	0	-0.4633	0	-0.9198	5	1.6741
"crescendo"	3	0	-0.278	0	-0.5519	3	1.0045
"numérique"	6	0	-0.5559	0	-1.1038	6	2.009
"scripté"	4	3	1.6148	0	-0.7359	1	-0.4311
"fastidieux"	9	3	0.6176	2	-0.4581	4	-0.2281
"forcé"	2	0	-0.1853	1	0.2431	1	0.148
"vache"	10	1	-0.3979	3	-0.2785	6	0.5392
"manie"	2	0	-0.1853	0	-0.3679	2	0.6696
"corne"	3	0	-0.278	0	-0.5519	3	1.0045
"change"	2	0	-0.1853	0	-0.3679	2	0.6696
"balaise"	2	0	-0.1853	0	-0.3679	2	0.6696
"étude"	4	0	-0.3706	1	-0.2431	3	0.5874
"préjugé"	4	0	-0.3706	0	-0.7359	4	1.3393
"ternir"	5	2	0.6079	1	-0.3591	2	-0.2442
"silhouette"	4	0	-0.3706	1	-0.2431	3	0.5874
"agiter"	2	0	-0.1853	0	-0.3679	2	0.6696
"méfier"	4	0	-0.3706	1	-0.2431	3	0.5874
"adjectif"	3	0	-0.278	1	-0.1399	2	0.3527
"verser"	3	0	-0.278	0	-0.5519	3	1.0045
"jardin"	4	0	-0.3706	1	-0.2431	3	0.5874
"effréné"	2	0	-0.1853	1	0.2431	1	0.148
"propice"	3	0	-0.278	1	-0.1399	2	0.3527
"emploi"	6	1	-0.1709	3	0.4641	2	-0.3806
"PS3"	2	0	-0.1853	0	-0.3679	2	0.6696
"vitrail"	4	0	-0.3706	0	-0.7359	4	1.3393
"stick"	17	3	-0.2351	7	0.4371	7	-0.364
"détente"	5	2	0.6079	1	-0.3591	2	-0.2442
"écart"	3	0	-0.278	1	-0.1399	2	0.3527
"luire"	4	1	0.2411	0	-0.7359	3	0.5874
"chimérique"	3	0	-0.278	1	-0.1399	2	0.3527
"chialer"	6	1	-0.1709	0	-1.1038	5	1.1074
"race"	7	0	-0.6486	1	-0.6164	6	1.3832
"déserter"	2	0	-0.1853	0	-0.3679	2	0.6696
"manœuvre"	3	0	-0.278	2	0.5601	1	-0.2549
"carotte"	2	1	0.4593	0	-0.3679	1	0.148
"monture"	11	1	-0.461	1	-1.191	9	1.7385
"délicatesse"	2	0	-0.1853	0	-0.3679	2	0.6696
"instinctivement"	2	0	-0.1853	0	-0.3679	2	0.6696
"ia"	2	1	0.4593	0	-0.3679	1	0.148
"réactif"	4	0	-0.3706	1	-0.2431	3	0.5874
"judicieux"	7	0	-0.6486	1	-0.6164	6	1.3832
"inspection"	2	0	-0.1853	0	-0.3679	2	0.6696
"précieusement"	2	0	-0.1853	0	-0.3679	2	0.6696
"entretemps"	2	0	-0.1853	1	0.2431	1	0.148
"teaser"	2	0	-0.1853	1	0.2431	1	0.148
"dépeigner|dépeindre"	2	0	-0.1853	1	0.2431	1	0.148
"portrait"	2	0	-0.1853	0	-0.3679	2	0.6696
"éminemment"	3	0	-0.278	2	0.5601	1	-0.2549
"most"	2	1	0.4593	0	-0.3679	1	0.148
"contemplation"	4	1	0.2411	0	-0.7359	3	0.5874
"oasis"	2	0	-0.1853	0	-0.3679	2	0.6696
"this"	9	0	-0.8339	2	-0.4581	7	1.2349
"hardware"	3	0	-0.278	0	-0.5519	3	1.0045
"to"	25	1	-1.4747	5	-1.0449	19	2.6109
"irriter"	3	1	0.3254	0	-0.5519	2	0.3527
"tribune"	2	0	-0.1853	0	-0.3679	2	0.6696
"ajuster"	4	0	-0.3706	1	-0.2431	3	0.5874
"refus"	3	0	-0.278	2	0.5601	1	-0.2549
"rancœur"	2	0	-0.1853	1	0.2431	1	0.148
"en-dessous"	6	1	-0.1709	3	0.4641	2	-0.3806
"mimique"	2	0	-0.1853	1	0.2431	1	0.148
"superflu"	5	2	0.6079	2	0.2498	1	-0.6238
"projeter"	3	0	-0.278	2	0.5601	1	-0.2549
"altitude"	3	0	-0.278	2	0.5601	1	-0.2549
"jubiler"	2	1	0.4593	0	-0.3679	1	0.148
"AI"	2	0	-0.1853	1	0.2431	1	0.148
"avaler"	3	1	0.3254	1	-0.1399	1	-0.2549
"ironique"	3	0	-0.278	2	0.5601	1	-0.2549
"retrouve"	3	0	-0.278	1	-0.1399	2	0.3527
"relationnel"	3	0	-0.278	0	-0.5519	3	1.0045
"artiste"	7	4	1.5373	0	-1.2878	3	-0.2355
"emballer"	10	3	0.525	2	-0.5657	5	0.2772
"topo"	2	1	0.4593	0	-0.3679	1	0.148
"enleve"	2	2	1.4329	0	-0.3679	0	-0.5394
"trico"	4	4	2.8658	0	-0.7359	0	-1.0787
"caca"	2	1	0.4593	0	-0.3679	1	0.148
"b"	2	1	0.4593	1	0.2431	0	-0.5394
"polir"	2	1	0.4593	0	-0.3679	1	0.148
"larguer"	2	2	1.4329	0	-0.3679	0	-0.5394
"garcon"	2	1	0.4593	0	-0.3679	1	0.148
"petitesse"	2	1	0.4593	0	-0.3679	1	0.148
"calin"	2	2	1.4329	0	-0.3679	0	-0.5394
"t"	5	4	2.2393	1	-0.3591	0	-1.3484
"dead"	5	1	0.1832	0	-0.9198	4	0.841
"apres"	2	1	0.4593	1	0.2431	0	-0.5394
"cadrer"	2	1	0.4593	0	-0.3679	1	0.148
"incliner"	4	1	0.2411	0	-0.7359	3	0.5874
"inconsistant"	2	1	0.4593	0	-0.3679	1	0.148
"vendeur"	3	1	0.3254	1	-0.1399	1	-0.2549
"consommateur"	3	1	0.3254	0	-0.5519	2	0.3527
"no"	4	1	0.2411	1	-0.2431	2	0.2011
"youtu"	2	2	1.4329	0	-0.3679	0	-0.5394
"be"	6	2	0.4878	1	-0.4842	3	0.2338
"caprice"	2	0	-0.1853	0	-0.3679	2	0.6696
"tâcher"	2	0	-0.1853	1	0.2431	1	0.148
"malédiction"	9	0	-0.8339	1	-0.8963	8	1.9544
"dogme"	2	0	-0.1853	0	-0.3679	2	0.6696
"transcendant"	4	2	0.7726	0	-0.7359	2	0.2011
"orgueilleux"	2	1	0.4593	0	-0.3679	1	0.148
"égal"	5	0	-0.4633	4	1.2886	1	-0.6238
"reine"	3	1	0.3254	1	-0.1399	1	-0.2549
"rituel"	3	0	-0.278	1	-0.1399	2	0.3527
"inopportun"	2	0	-0.1853	1	0.2431	1	0.148
"chaleur"	7	0	-0.6486	0	-1.2878	7	2.3438
"minuscule"	5	1	0.1832	0	-0.9198	4	0.841
"fougueux"	2	0	-0.1853	1	0.2431	1	0.148
"ascension"	4	1	0.2411	0	-0.7359	3	0.5874
"éperdre"	2	0	-0.1853	1	0.2431	1	0.148
"coercitif"	2	0	-0.1853	0	-0.3679	2	0.6696
"récurrent"	5	0	-0.4633	1	-0.3591	4	0.841
"attester"	3	0	-0.278	0	-0.5519	3	1.0045
"bafouer"	2	0	-0.1853	1	0.2431	1	0.148
"mouvementé"	2	0	-0.1853	0	-0.3679	2	0.6696
"dénoter"	2	0	-0.1853	0	-0.3679	2	0.6696
"courroux"	2	0	-0.1853	0	-0.3679	2	0.6696
"manifestation"	2	0	-0.1853	0	-0.3679	2	0.6696
"distribuer"	3	0	-0.278	0	-0.5519	3	1.0045
"visée"	22	4	-0.2363	8	0.2943	10	-0.2542
"autrui"	2	0	-0.1853	0	-0.3679	2	0.6696
"favorable"	2	0	-0.1853	1	0.2431	1	0.148
"prévaloir"	2	1	0.4593	0	-0.3679	1	0.148
"heurter"	5	1	0.1832	2	0.2498	2	-0.2442
"solitaire"	6	1	-0.1709	1	-0.4842	4	0.5584
"fortune"	2	0	-0.1853	0	-0.3679	2	0.6696
"automatisme"	2	1	0.4593	0	-0.3679	1	0.148
"Agro"	2	0	-0.1853	0	-0.3679	2	0.6696
"conférer"	9	0	-0.8339	2	-0.4581	7	1.2349
"mobile"	4	0	-0.3706	2	0.3678	2	0.2011
"sidérant"	3	2	1.0153	0	-0.5519	1	-0.2549
"ingéniosité"	2	0	-0.1853	1	0.2431	1	0.148
"scrupuleux"	2	0	-0.1853	0	-0.3679	2	0.6696
"sensibilité"	4	0	-0.3706	0	-0.7359	4	1.3393
"vital"	5	2	0.6079	1	-0.3591	2	-0.2442
"entremise"	2	0	-0.1853	0	-0.3679	2	0.6696
"contraste"	3	0	-0.278	0	-0.5519	3	1.0045
"section"	4	0	-0.3706	1	-0.2431	3	0.5874
"désarmant"	2	0	-0.1853	0	-0.3679	2	0.6696
"incomparable"	4	0	-0.3706	1	-0.2431	3	0.5874
"chétif"	2	0	-0.1853	0	-0.3679	2	0.6696
"méconnaître"	2	0	-0.1853	0	-0.3679	2	0.6696
"morgue"	7	2	0.3963	1	-0.6164	4	0.3782
"irritation"	2	0	-0.1853	1	0.2431	1	0.148
"Histoire"	6	1	-0.1709	3	0.4641	2	-0.3806
"revisiter"	2	0	-0.1853	1	0.2431	1	0.148
"cri"	9	0	-0.8339	2	-0.4581	7	1.2349
"émotif"	2	0	-0.1853	0	-0.3679	2	0.6696
"écrin"	3	0	-0.278	0	-0.5519	3	1.0045
"monumental"	2	0	-0.1853	0	-0.3679	2	0.6696
"réécrire"	4	1	0.2411	0	-0.7359	3	0.5874
"conte"	2	0	-0.1853	0	-0.3679	2	0.6696
"graine"	2	1	0.4593	0	-0.3679	1	0.148
"cachet"	5	0	-0.4633	3	0.6422	2	-0.2442
"triangle"	6	1	-0.1709	1	-0.4842	4	0.5584
"gris"	2	0	-0.1853	0	-0.3679	2	0.6696
"chopper"	3	1	0.3254	0	-0.5519	2	0.3527
"procéder"	2	0	-0.1853	1	0.2431	1	0.148
"calmement"	2	0	-0.1853	0	-0.3679	2	0.6696
"docilement"	2	0	-0.1853	0	-0.3679	2	0.6696
"récalcitrant"	2	0	-0.1853	1	0.2431	1	0.148
"charmer"	5	1	0.1832	0	-0.9198	4	0.841
"éprouvant"	2	0	-0.1853	1	0.2431	1	0.148
"gardien"	3	0	-0.278	1	-0.1399	2	0.3527
"contextuel"	2	1	0.4593	0	-0.3679	1	0.148
"simplet"	2	0	-0.1853	1	0.2431	1	0.148
"—"	12	0	-1.1118	0	-2.2076	12	4.018
"rétorquer"	2	0	-0.1853	0	-0.3679	2	0.6696
"misère"	5	1	0.1832	1	-0.3591	3	0.3665
"bide"	2	0	-0.1853	1	0.2431	1	0.148
"steak"	2	0	-0.1853	1	0.2431	1	0.148
"paroxysme"	3	1	0.3254	1	-0.1399	1	-0.2549
"rétrospectif|rétrospective"	2	0	-0.1853	2	0.9236	0	-0.5394
"exclusivité"	4	0	-0.3706	2	0.3678	2	0.2011
"consoler"	10	0	-0.9265	9	3.3178	1	-1.7142
"tristement"	2	0	-0.1853	2	0.9236	0	-0.5394
"v1"	2	0	-0.1853	2	0.9236	0	-0.5394
"largely"	2	0	-0.1853	1	0.2431	1	0.148
"considered"	2	0	-0.1853	2	0.9236	0	-0.5394
"that"	8	0	-0.7412	2	-0.3575	6	0.9965
"wanted"	2	1	0.4593	1	0.2431	0	-0.5394
"home"	2	0	-0.1853	1	0.2431	1	0.148
"they"	5	0	-0.4633	1	-0.3591	4	0.841
"got"	3	0	-0.278	1	-0.1399	2	0.3527
"instead"	2	0	-0.1853	2	0.9236	0	-0.5394
"mega"	2	0	-0.1853	2	0.9236	0	-0.5394
"driver"	2	0	-0.1853	1	0.2431	1	0.148
"Ax"	2	0	-0.1853	2	0.9236	0	-0.5394
"21ème"	2	1	0.4593	1	0.2431	0	-0.5394
"similar"	2	0	-0.1853	2	0.9236	0	-0.5394
"different"	2	0	-0.1853	2	0.9236	0	-0.5394
"make"	4	0	-0.3706	1	-0.2431	3	0.5874
"every"	3	0	-0.278	3	1.3854	0	-0.809
"other"	4	0	-0.3706	3	0.9135	1	-0.4311
"beat-em-up"	2	0	-0.1853	2	0.9236	0	-0.5394
"are"	2	0	-0.1853	2	0.9236	0	-0.5394
"grapple"	9	0	-0.8339	9	4.1562	0	-2.4271
"system"	9	0	-0.8339	5	0.7854	4	-0.2281
"étonnament"	2	0	-0.1853	2	0.9236	0	-0.5394
"identitaires"	3	0	-0.278	2	0.5601	1	-0.2549
"triomphe"	2	0	-0.1853	2	0.9236	0	-0.5394
"acclamer"	2	1	0.4593	1	0.2431	0	-0.5394
"hitstun"	3	0	-0.278	3	1.3854	0	-0.809
"chope"	8	0	-0.7412	8	3.6944	0	-2.1575
"jump"	8	0	-0.7412	8	3.6944	0	-2.1575
"attack"	7	0	-0.6486	7	3.2326	0	-1.8878
"tentation"	3	0	-0.278	2	0.5601	1	-0.2549
"thrust"	4	0	-0.3706	4	1.8472	0	-1.0787
"move"	2	0	-0.1853	2	0.9236	0	-0.5394
"much"	2	0	-0.1853	2	0.9236	0	-0.5394
"with"	5	0	-0.4633	2	0.2498	3	0.3665
"best"	2	0	-0.1853	1	0.2431	1	0.148
"moves"	2	0	-0.1853	2	0.9236	0	-0.5394
"vertical"	4	0	-0.3706	3	0.9135	1	-0.4311
"downard"	3	0	-0.278	3	1.3854	0	-0.809
"dive"	4	0	-0.3706	4	1.8472	0	-1.0787
"offensif"	4	0	-0.3706	2	0.3678	2	0.2011
"tortue"	2	0	-0.1853	1	0.2431	1	0.148
"paced"	2	0	-0.1853	2	0.9236	0	-0.5394
"technos"	2	0	-0.1853	2	0.9236	0	-0.5394
"slow"	2	0	-0.1853	1	0.2431	1	0.148
"émerger"	3	0	-0.278	3	1.3854	0	-0.809
"gamefeel"	3	0	-0.278	3	1.3854	0	-0.809
"him"	2	0	-0.1853	1	0.2431	1	0.148
"clou"	3	0	-0.278	3	1.3854	0	-0.809
"imbloquable"	3	0	-0.278	3	1.3854	0	-0.809
"capcom"	2	0	-0.1853	2	0.9236	0	-0.5394
"c"	8	4	1.3069	2	-0.3575	2	-0.7006
"cross"	4	0	-0.3706	4	1.8472	0	-1.0787
"life"	4	0	-0.3706	2	0.3678	2	0.2011
"syndrome"	2	0	-0.1853	1	0.2431	1	0.148
"stocker"	2	0	-0.1853	2	0.9236	0	-0.5394
"more"	6	0	-0.5559	1	-0.4842	5	1.1074
"characters"	3	0	-0.278	1	-0.1399	2	0.3527
"from"	3	0	-0.278	1	-0.1399	2	0.3527
"schmilblick"	2	0	-0.1853	2	0.9236	0	-0.5394
"archétype"	6	2	0.4878	2	-0.1828	2	-0.3806
"movesets"	2	0	-0.1853	2	0.9236	0	-0.5394
"funs"	2	0	-0.1853	2	0.9236	0	-0.5394
"comboter"	2	0	-0.1853	2	0.9236	0	-0.5394
"wall"	4	1	0.2411	3	0.9135	0	-1.0787
"kick"	2	0	-0.1853	1	0.2431	1	0.148
"glissade"	22	0	-2.0384	7	-0.3079	15	1.4953
"chopeur"	2	0	-0.1853	2	0.9236	0	-0.5394
"kill"	3	0	-0.278	1	-0.1399	2	0.3527
"voisin"	2	0	-0.1853	2	0.9236	0	-0.5394
"pique"	4	1	0.2411	2	0.3678	1	-0.4311
"incontestable"	2	0	-0.1853	0	-0.3679	2	0.6696
"cowboys"	6	0	-0.5559	2	-0.1828	4	0.5584
"poussière"	5	0	-0.4633	2	0.2498	3	0.3665
"saloon"	11	0	-1.0192	1	-1.191	10	2.5438
"mutation"	3	0	-0.278	1	-0.1399	2	0.3527
"modernisation"	2	0	-0.1853	0	-0.3679	2	0.6696
"aride"	6	0	-0.5559	0	-1.1038	6	2.009
"cow-boy"	10	0	-0.9265	2	-0.5657	8	1.4828
"rigidité"	3	0	-0.278	0	-0.5519	3	1.0045
"conducteur"	4	0	-0.3706	2	0.3678	2	0.2011
